"106年09月08日 當日日成交資訊 (股)"
"證券代號","證券名稱","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
="0050  ","元大台灣50      ","2,836,000","234,543,850","82.40","82.90","82.40","82.70","+0.45","384",
="0051  ","元大中型100     ","13,000","412,840","31.95","31.95","31.68","31.71","-0.01","7",
="0052  ","富邦科技        ","1,000","50,900","50.90","50.90","50.90","50.90","+0.10","1",
="0053  ","元大電子        ","9,000","333,280","37.17","37.17","36.92","36.92","-0.03","7",
="0054  ","元大台商50      ","62,000","1,615,910","26.04","26.09","26.04","26.05","+0.02","17",
="0055  ","元大MSCI金融    ","120,000","1,919,580","16.00","16.01","15.97","16.00","+0.02","23",
="0056  ","元大高股息      ","960,000","25,152,670","26.15","26.25","26.15","26.23","+0.09","295",
="0057  ","富邦摩台        ","2,000","99,040","49.55","49.55","49.49","49.49","+0.30","2",
="0058  ","富邦發達        ","1,000","48,670","48.67","48.67","48.67","48.67","-0.07","1",
="0059  ","富邦金融        ","0","0","0.00","0.00","0.00","0.00"," 0.00","0",
="0061  ","元大寶滬深      ","6,553,000","114,675,350","17.40","17.58","17.32","17.56","+0.14","1,210",
="006203","元大MSCI台灣    ","0","0","0.00","0.00","0.00","0.00"," 0.00","0",
="006204","永豐臺灣加權    ","0","0","0.00","0.00","0.00","0.00"," 0.00","0",
="006205","富邦上証        ","4,238,000","133,607,610","31.54","31.62","31.42","31.55","-0.02","551",
="006206","元大上證50      ","968,000","30,353,410","31.30","31.48","31.27","31.38","+0.08","239",
="006207","FH滬深          ","1,094,000","25,815,610","23.52","23.66","23.52","23.64","+0.10","131",
="006208","富邦台50        ","2,000","97,610","48.80","48.81","48.80","48.81","+0.05","2",
="00625K","富邦上証+R      ","50,000","342,500","6.85","6.85","6.85","6.85"," 0.00","2",
="00631L","元大台灣50正2   ","837,000","29,287,450","34.75","35.18","34.71","35.10","+0.42","269",
="00632R","元大台灣50反1   ","60,753,000","817,211,690","13.50","13.52","13.42","13.44","-0.08","5,790",
="00633L","富邦上証正2     ","26,259,000","1,152,712,730","44.00","44.13","43.72","43.73","-0.48","5,251",
="00634R","富邦上証反1     ","802,000","5,983,070","7.46","7.47","7.44","7.45","+0.01","71",
="00635U","元大S&P黃金     ","2,905,000","61,364,660","21.08","21.20","21.06","21.20","+0.29","762",
="00636 ","國泰中國A50     ","3,960,000","78,020,500","19.70","19.79","19.65","19.73","+0.02","819",
="00637L","元大滬深300正2  ","58,996,000","974,509,420","16.49","16.61","16.45","16.45","-0.13","7,145",
="00638R","元大滬深300反1  ","61,000","945,910","15.45","15.55","15.45","15.47","+0.02","17",
="00639 ","富邦深100       ","2,158,000","23,803,400","11.00","11.08","10.99","11.05","+0.04","354",
="00640L","富邦日本正2     ","1,152,000","22,708,650","19.70","19.79","19.62","19.62","-0.12","173",
="00641R","富邦日本反1     ","689,000","11,419,320","16.59","16.62","16.55","16.61","+0.04","75",
="00642U","元大S&P石油     ","7,278,000","117,941,060","16.19","16.23","16.18","16.22","+0.06","1,294",
="00643 ","群益深証中小    ","2,607,000","41,175,370","15.74","15.87","15.71","15.75","+0.01","435",
="00643K","群益深証中小+R  ","0","0","0.00","0.00","0.00","0.00"," 0.00","0",
="00645 ","富邦日本        ","163,000","3,297,900","20.22","20.25","20.17","20.17","-0.06","14",
="00646 ","元大S&P500      ","41,000","902,760","22.09","22.09","22.00","22.03","-0.05","25",
="00647L","元大S&P500正2   ","14,000","373,310","26.73","26.73","26.64","26.65","-0.09","4",
="00648R","元大S&P500反1   ","1,073,000","16,403,790","15.31","15.31","15.28","15.29","-0.02","119",
="00649 ","FH香港          ","129,000","2,569,640","19.84","19.93","19.84","19.92","+0.05","6",
="00650L","FH香港正2       ","809,000","24,888,560","30.79","30.86","30.60","30.71","+0.20","36",
="00651R","FH香港反1       ","781,000","7,221,590","9.31","9.33","9.21","9.23","-0.08","71",
="00652 ","富邦印度        ","24,000","543,640","22.66","22.69","22.62","22.63","-0.05","16",
="00653L","富邦印度正2     ","328,000","8,928,670","27.26","27.28","27.10","27.10","-0.09","69",
="00654R","富邦印度反1     ","14,000","220,710","15.76","15.78","15.75","15.77","+0.01","9",
="00655L","國泰中國A50正2  ","7,837,000","250,759,550","32.06","32.17","31.87","31.93","-0.29","2,144",
="00656R","國泰中國A50反1  ","63,000","900,330","14.25","14.33","14.25","14.30","+0.05","13",
="00657 ","國泰日經225     ","25,000","583,170","23.40","23.40","23.31","23.31","-0.23","6",
="00658L","國泰日本正2     ","139,000","3,772,940","27.19","27.26","27.05","27.05","-0.31","56",
="00659R","國泰日本反1     ","117,000","1,812,360","15.47","15.52","15.46","15.52","+0.08","24",
="00660 ","元大歐洲50      ","32,000","782,150","24.46","24.48","24.43","24.43","+0.06","11",
="00661 ","元大日經225     ","2,000","48,270","24.14","24.14","24.13","24.13","X0.00","2",
="00662 ","富邦NASDAQ      ","84,000","2,067,190","24.67","24.67","24.60","24.63"," 0.00","11",
="00663L","國泰臺灣加權正2 ","538,000","17,200,760","31.85","32.21","31.85","32.16","+0.42","40",
="00664R","國泰臺灣加權反1 ","1,339,000","20,380,760","15.28","15.30","15.19","15.20","-0.10","266",
="00665L","富邦H股正2      ","463,000","13,820,920","29.53","29.97","29.53","29.78","+0.09","111",
="00666R","富邦H股反1      ","63,000","917,410","14.58","14.58","14.55","14.58","-0.06","6",
="00667 ","元大韓國        ","291,000","6,433,780","22.00","22.14","22.00","22.14","+0.16","23",
="00668 ","國泰美國道瓊    ","11,000","250,830","22.80","22.85","22.77","22.81","+0.01","7",
="00669R","國泰美國道瓊反1 ","318,000","5,125,110","16.10","16.13","16.08","16.13","+0.03","41",
="00670L","富邦NASDAQ正2   ","302,000","7,420,950","24.57","24.60","24.53","24.55","+0.11","19",
="00671R","富邦NASDAQ反1   ","951,000","16,636,820","17.47","17.51","17.47","17.51","-0.02","46",
="00672L","元大S&P原油正2  ","49,072,000","692,929,790","14.08","14.17","14.07","14.16","+0.11","4,395",
="00673R","元大S&P原油反1  ","5,111,000","105,792,920","20.74","20.74","20.67","20.69","-0.08","684",
="00674R","元大S&P黃金反1  ","419,000","7,785,310","18.63","18.63","18.51","18.51","-0.30","151",
="00675L","富邦臺灣加權正2 ","1,354,000","18,765,330","13.78","13.95","13.77","13.92","+0.18","103",
="00676R","富邦臺灣加權反1 ","1,301,000","10,756,120","8.29","8.30","8.25","8.26","-0.05","194",
="00677U","富邦VIX         ","16,446,000","151,526,840","9.25","9.26","9.18","9.26","-0.08","2,129",
="00678 ","群益NBI生技     ","360,000","7,944,450","22.07","22.15","22.05","22.15","+0.10","50",
="00680L","元大美債20正2   ","12,000","265,790","22.13","22.27","22.08","22.27","+0.46","9",
="00681R","元大美債20反1   ","10,000","181,600","18.16","18.16","18.16","18.16","-0.13","10",
="00682U","元大美元指數    ","793,000","14,232,980","18.14","18.14","17.89","17.97","-0.22","146",
="00683L","元大美元指數正2 ","1,746,000","28,418,070","16.47","16.47","16.19","16.20","-0.40","531",
="00684R","元大美元指數反1 ","8,000","173,080","21.62","21.66","21.62","21.66","X0.00","3",
="00685L","群益臺灣加權正2 ","6,000","73,040","12.15","12.19","12.15","12.18","+0.16","5",
="00686R","群益臺灣加權反1 ","1,147,000","10,311,410","9.00","9.01","8.97","8.97","-0.07","40",
="00688L","國泰20年美債正2 ","164,000","3,686,620","22.45","22.54","22.44","22.54","+0.42","15",
="00689R","國泰20年美債反1 ","235,000","4,329,680","18.41","18.44","18.40","18.40","-0.22","13",
="00690 ","兆豐藍籌30      ","623,000","13,406,730","21.50","21.54","21.44","21.53","+0.09","56",
="00691R","兆豐藍籌30反1   ","0","0","0.00","0.00","0.00","0.00"," 0.00","0",
="00692 ","富邦公司治理    ","1,002,000","21,575,700","21.45","21.56","21.45","21.55","+0.10","120",
="00693U","華頓S&P黃豆     ","767,000","15,297,970","19.92","20.00","19.91","19.99","+0.09","143",
="00698L","元大美債7-10正2 ","1,022,000","20,616,000","20.17","20.21","20.15","20.21","+0.14","36",
="00699R","元大美債7-10反1 ","900,000","17,667,000","19.63","19.63","19.63","19.63","-0.08","20",
="00700 ","富邦H股         ","330,000","6,603,050","19.96","20.02","19.96","20.01","+0.11","9",
="00701 ","國泰臺灣低波動30","231,000","4,712,430","20.31","20.45","20.31","20.43","+0.16","57",
="00702 ","國泰標普低波高息","337,000","6,698,090","19.87","19.91","19.85","19.88","+0.05","46",
="00703 ","台新MSCI中國    ","596,000","11,898,740","20.00","20.00","19.90","19.96","+0.06","62",
="00704L","台新MSCI台灣正2 ","457,000","9,187,950","20.11","20.15","20.06","20.11","+0.15","9",
="00705R","台新MSCI台灣反1 ","307,000","5,986,640","19.55","19.55","19.50","19.52","-0.14","12",
="00706L","元大S&P日圓正2  ","2,561,000","53,086,010","20.61","20.86","20.60","20.86","+0.50","54",
="00707R","元大S&P日圓反1  ","521,000","10,169,920","19.57","19.58","19.44","19.45","-0.23","18",
="00708L","元大S&P黃金正2  ","1,495,000","31,758,670","21.15","21.41","21.10","21.41","+0.65","120",
="00709 ","富邦歐洲        ","451,000","9,085,240","20.06","20.17","20.01","20.17","+0.20","36",
="00710B","FH彭博高收益債  ","3,000","60,030","20.01","20.01","20.01","20.01","X0.00","3",
="00711B","FH彭博新興債    ","6,000","122,280","20.38","20.38","20.38","20.38","+0.04","6",
="00712 ","FH富時不動產    ","67,000","1,311,090","19.60","19.60","19.54","19.54","-0.10","7",
="008201","BP上證50        ","4,900","476,655","97.00","97.75","97.00","97.75","+0.70","17",
="01001T","土銀富邦R1      ","175,000","2,313,550","13.25","13.40","13.11","13.12","-0.18","37",
="01002T","土銀國泰R1      ","1,476,000","19,806,470","13.39","13.47","13.39","13.47","+0.09","102",
="01003T","兆豐新光R1      ","12,000","170,220","14.18","14.20","14.18","14.18"," 0.00","6",
="01004T","土銀富邦R2      ","284,000","3,327,790","11.70","11.79","11.69","11.79","+0.11","74",
="01007T","兆豐國泰R2      ","292,000","3,872,320","13.22","13.45","13.22","13.28","+0.06","54",
"1101  ","台泥            ","4,151,000","141,060,550","33.85","34.10","33.80","34.05","+0.25","1,986",
"1102  ","亞泥            ","2,021,000","55,008,350","27.10","27.40","27.00","27.30","+0.20","1,104",
"1103  ","嘉泥            ","581,000","6,987,900","11.90","12.10","11.90","12.10","+0.20","148",
"1104  ","環泥            ","149,000","3,399,800","22.85","22.85","22.75","22.80","-0.05","65",
"1108  ","幸福            ","86,000","753,820","8.75","8.80","8.74","8.80","+0.05","28",
"1109  ","信大            ","64,000","747,400","11.65","11.75","11.65","11.75","+0.15","29",
"1110  ","東泥            ","4,000","60,050","15.00","15.05","15.00","15.05","+0.05","2",
"1201  ","味全            ","821,000","15,501,650","18.90","19.00","18.80","18.80","-0.10","307",
"1203  ","味王            ","12,000","287,300","24.00","24.00","23.90","23.90","-0.10","10",
"1210  ","大成            ","5,551,000","177,492,200","31.60","32.35","31.50","32.05","+1.00","2,675",
"1213  ","大飲            ","84,000","1,288,400","15.40","15.40","15.30","15.40","+0.05","35",
"1215  ","卜蜂            ","1,793,000","117,915,500","65.30","66.30","65.00","66.00","+1.30","1,092",
"1216  ","統一            ","13,210,000","858,929,900","65.00","65.20","64.70","65.20","+0.70","4,471",
"1217  ","愛之味          ","1,014,000","7,941,420","7.79","7.88","7.79","7.82","+0.04","283",
"1218  ","泰山            ","1,637,000","29,127,300","17.60","18.05","17.50","17.65","+0.10","567",
"1219  ","福壽            ","26,000","459,050","17.60","17.75","17.55","17.75","+0.10","17",
"1220  ","台榮            ","85,000","863,100","10.20","10.20","10.10","10.20","+0.05","28",
"1225  ","福懋油          ","6,000","369,500","60.20","62.00","60.20","62.00","X0.00","5",
"1227  ","佳格            ","572,000","43,067,000","75.30","75.70","75.00","75.40","+0.40","390",
"1229  ","聯華            ","12,475,000","365,883,750","28.05","30.50","27.95","30.10","+2.15","4,370",
"1231  ","聯華食          ","237,000","8,107,400","33.80","34.35","33.70","34.30","+0.50","133",
"1232  ","大統益          ","24,000","2,159,300","90.10","90.20","89.90","89.90","-0.10","23",
"1233  ","天仁            ","16,000","558,600","35.05","35.05","34.70","34.90","-0.15","15",
"1234  ","黑松            ","265,000","8,298,250","30.75","31.40","30.75","31.40","-0.05","86",
